AssetID,Hostname,IP,OS,LastScannedAt,IsStale,LastSeenAt
176831,XASWP008-101008,10.101.8.15,,NULL,1,2026-03-12 16:07:08.8133333
176832,XASWP006-101010,10.101.10.14,,NULL,1,2026-03-12 16:07:08.9300000
176833,XASWP007-101008,10.101.8.14,,NULL,1,2026-03-12 16:07:08.9166667
176834,DSPWP001-101008,10.101.8.10,,NULL,1,2026-03-12 16:07:08.9033333
176835,DSPWP001-101010,10.101.10.17,,NULL,1,2026-03-12 16:07:08.8833333
176836,DSPWP012-101026,10.101.26.27,,NULL,1,2026-03-12 16:07:09.0066667
176837,XASWP009-101028,10.101.28.4,,NULL,1,2026-03-12 16:07:08.9633333
176838,DSPWP006-101028,10.101.28.23,,NULL,1,2026-03-12 16:07:09.0200000
176839,XASWP001-101028,10.101.28.5,,NULL,1,2026-03-12 16:07:08.9766667
176840,DSPWP011-101028,10.101.28.29,,NULL,1,2026-03-12 16:07:08.9466667
176841,XASWP008-101028,10.101.28.20,,NULL,1,2026-03-03 16:20:26.2166667
176842,DSPWP003-101040,10.101.40.12,,NULL,1,2026-03-12 16:07:09.0700000
176843,DSPWP002-101018,10.101.18.14,,NULL,1,2026-03-12 16:07:09.0400000
176844,XASWP002-101018,10.101.18.6,,NULL,1,2026-03-12 16:07:08.9900000
176845,XASWP004-101018,10.101.18.11,,NULL,1,2026-03-12 16:07:09.0533333
176846,XASWP006-101028,10.101.28.16,,NULL,1,2026-03-12 16:07:09.1200000
176847,XASWP001-101026,10.101.26.23,,NULL,1,2026-03-12 16:07:09.1600000
176848,DSPWP001-101040,10.101.40.15,,NULL,1,2026-03-12 16:07:09.2700000
176849,DSPWP001-101018,10.101.18.15,,NULL,1,2026-03-12 16:07:09.1466667
176850,XASWP007-101018,10.101.18.10,,NULL,1,2026-03-12 16:07:09.1333333
176851,XASWP005-101028,10.101.28.9,,NULL,1,2026-03-12 16:07:09.0833333
176852,DSPWP011-101026,10.101.26.25,,NULL,1,2026-03-12 16:07:09.1000000
176853,DSPWP007-101028,10.101.28.25,,NULL,1,2026-03-12 16:07:09.3033333
176854,XASWP011-101022,10.101.22.22,,NULL,1,2026-03-12 16:07:09.2866667
176855,XASWP005-101040,10.101.40.11,,NULL,1,2026-03-12 16:07:09.2400000
176856,XASWP012-101022,10.101.22.25,,NULL,1,2026-03-12 16:07:09.2566667
